movieId,titulo_movie_lens,genres,tag,geral
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,pixar|pixar|fun,Toy Story  1995  Adventure Animation Children Comedy Fantasy pixar pixar fun
2,Jumanji (1995),Adventure|Children|Fantasy,fantasy|magic board game|Robin Williams|game,Jumanji  1995  Adventure Children Fantasy fantasy magic board game Robin Williams game
3,Grumpier Old Men (1995),Comedy|Romance,moldy|old,Grumpier Old Men  1995  Comedy Romance moldy old
4,Waiting to Exhale (1995),Comedy|Drama|Romance,,Waiting to Exhale  1995  Comedy Drama Romance nan
5,Father of the Bride Part II (1995),Comedy,pregnancy|remake,Father of the Bride Part II  1995  Comedy pregnancy remake
6,Heat (1995),Action|Crime|Thriller,,Heat  1995  Action Crime Thriller nan
7,Sabrina (1995),Comedy|Romance,remake,Sabrina  1995  Comedy Romance remake
8,Tom and Huck (1995),Adventure|Children,,Tom and Huck  1995  Adventure Children nan
9,Sudden Death (1995),Action,,Sudden Death  1995  Action nan
10,GoldenEye (1995),Action|Adventure|Thriller,,GoldenEye  1995  Action Adventure Thriller nan
11,"American President, The (1995)",Comedy|Drama|Romance,politics|president,American President  The  1995  Comedy Drama Romance politics president
12,Dracula: Dead and Loving It (1995),Comedy|Horror,,Dracula: Dead and Loving It  1995  Comedy Horror nan
13,Balto (1995),Adventure|Animation|Children,,Balto  1995  Adventure Animation Children nan
14,Nixon (1995),Drama,politics|president,Nixon  1995  Drama politics president
15,Cutthroat Island (1995),Action|Adventure|Romance,,Cutthroat Island  1995  Action Adventure Romance nan
16,Casino (1995),Crime|Drama,Mafia,Casino  1995  Crime Drama Mafia
17,Sense and Sensibility (1995),Drama|Romance,Jane Austen,Sense and Sensibility  1995  Drama Romance Jane Austen
18,Four Rooms (1995),Comedy,,Four Rooms  1995  Comedy nan
19,Ace Ventura: When Nature Calls (1995),Comedy,,Ace Ventura: When Nature Calls  1995  Comedy nan
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,,Money Train  1995  Action Comedy Crime Drama Thriller nan
21,Get Shorty (1995),Comedy|Crime|Thriller,Hollywood,Get Shorty  1995  Comedy Crime Thriller Hollywood
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,serial killer,Copycat  1995  Crime Drama Horror Mystery Thriller serial killer
23,Assassins (1995),Action|Crime|Thriller,,Assassins  1995  Action Crime Thriller nan
24,Powder (1995),Drama|Sci-Fi,,Powder  1995  Drama Sci-Fi nan
25,Leaving Las Vegas (1995),Drama|Romance,alcoholism,Leaving Las Vegas  1995  Drama Romance alcoholism
26,Othello (1995),Drama,Shakespeare,Othello  1995  Drama Shakespeare
27,Now and Then (1995),Children|Drama,,Now and Then  1995  Children Drama nan
28,Persuasion (1995),Drama|Romance,In Netflix queue|Jane Austen,Persuasion  1995  Drama Romance In Netflix queue Jane Austen
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,kidnapping,City of Lost Children  The  Cité des enfants perdus  La   1995  Adventure Drama Fantasy Mystery Sci-Fi kidnapping
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,,Shanghai Triad  Yao a yao yao dao waipo qiao   1995  Crime Drama nan
31,Dangerous Minds (1995),Drama,high school|teacher,Dangerous Minds  1995  Drama high school teacher
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,time travel|time travel|Brad Pitt|Bruce Willis|mindfuck|Post apocalyptic|post-apocalyptic|remake|time travel|twist ending,Twelve Monkeys  a.k.a. 12 Monkeys   1995  Mystery Sci-Fi Thriller time travel time travel Brad Pitt Bruce Willis mindfuck Post apocalyptic post-apocalyptic remake time travel twist ending
34,Babe (1995),Children|Drama,Animal movie|pigs|villain nonexistent or not needed for good story,Babe  1995  Children Drama Animal movie pigs villain nonexistent or not needed for good story
36,Dead Man Walking (1995),Crime|Drama,death penalty|Nun,Dead Man Walking  1995  Crime Drama death penalty Nun
38,It Takes Two (1995),Children|Comedy,twins,It Takes Two  1995  Children Comedy twins
39,Clueless (1995),Comedy|Romance,chick flick|funny|Paul Rudd|quotable|seen more than once|Emma|Jane Austen,Clueless  1995  Comedy Romance chick flick funny Paul Rudd quotable seen more than once Emma Jane Austen
40,"Cry, the Beloved Country (1995)",Drama,In Netflix queue|South Africa,Cry  the Beloved Country  1995  Drama In Netflix queue South Africa
41,Richard III (1995),Drama|War,Shakespeare,Richard III  1995  Drama War Shakespeare
42,Dead Presidents (1995),Action|Crime|Drama,,Dead Presidents  1995  Action Crime Drama nan
43,Restoration (1995),Drama,England,Restoration  1995  Drama England
44,Mortal Kombat (1995),Action|Adventure|Fantasy,,Mortal Kombat  1995  Action Adventure Fantasy nan
45,To Die For (1995),Comedy|Drama|Thriller,Journalism,To Die For  1995  Comedy Drama Thriller Journalism
46,How to Make an American Quilt (1995),Drama|Romance,wedding,How to Make an American Quilt  1995  Drama Romance wedding
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,mystery|twist ending|serial killer,Seven  a.k.a. Se7en   1995  Mystery Thriller mystery twist ending serial killer
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,,Pocahontas  1995  Animation Children Drama Musical Romance nan
49,When Night Is Falling (1995),Drama|Romance,,When Night Is Falling  1995  Drama Romance nan
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,mindfuck|suspense|thriller|tricky|twist ending|heist,Usual Suspects  The  1995  Crime Mystery Thriller mindfuck suspense thriller tricky twist ending heist
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,adoption|prostitution,Mighty Aphrodite  1995  Comedy Drama Romance adoption prostitution
53,Lamerica (1994),Adventure|Drama,,Lamerica  1994  Adventure Drama nan
54,"Big Green, The (1995)",Children|Comedy,,Big Green  The  1995  Children Comedy nan
55,Georgia (1995),Drama,,Georgia  1995  Drama nan
57,Home for the Holidays (1995),Drama,,Home for the Holidays  1995  Drama nan
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,writing,Postman  The  Postino  Il   1994  Comedy Drama Romance writing
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,,Indian in the Cupboard  The  1995  Adventure Children Fantasy nan
61,Eye for an Eye (1996),Drama|Thriller,,Eye for an Eye  1996  Drama Thriller nan
62,Mr. Holland's Opus (1995),Drama,music,Mr. Holland's Opus  1995  Drama music
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,,Don't Be a Menace to South Central While Drinking Your Juice in the Hood  1996  Comedy Crime nan
64,Two if by Sea (1996),Comedy|Romance,,Two if by Sea  1996  Comedy Romance nan
65,Bio-Dome (1996),Comedy,,Bio-Dome  1996  Comedy nan
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,,Lawnmower Man 2: Beyond Cyberspace  1996  Action Sci-Fi Thriller nan
68,French Twist (Gazon maudit) (1995),Comedy|Romance,,French Twist  Gazon maudit   1995  Comedy Romance nan
69,Friday (1995),Comedy,,Friday  1995  Comedy nan
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,,From Dusk Till Dawn  1996  Action Comedy Horror Thriller nan
71,Fair Game (1995),Action,,Fair Game  1995  Action nan
72,Kicking and Screaming (1995),Comedy|Drama,,Kicking and Screaming  1995  Comedy Drama nan
73,"Misérables, Les (1995)",Drama|War,,Misérables  Les  1995  Drama War nan
74,Bed of Roses (1996),Drama|Romance,,Bed of Roses  1996  Drama Romance nan
75,Big Bully (1996),Comedy|Drama,,Big Bully  1996  Comedy Drama nan
76,Screamers (1995),Action|Sci-Fi|Thriller,,Screamers  1995  Action Sci-Fi Thriller nan
77,Nico Icon (1995),Documentary,,Nico Icon  1995  Documentary nan
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,,Crossing Guard  The  1995  Action Crime Drama Thriller nan
79,"Juror, The (1996)",Drama|Thriller,,Juror  The  1996  Drama Thriller nan
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,,White Balloon  The  Badkonake sefid   1995  Children Drama nan
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,,Things to Do in Denver When You're Dead  1995  Crime Drama Romance nan
82,Antonia's Line (Antonia) (1995),Comedy|Drama,,Antonia's Line  Antonia   1995  Comedy Drama nan
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,,Once Upon a Time... When We Were Colored  1995  Drama Romance nan
85,Angels and Insects (1995),Drama|Romance,,Angels and Insects  1995  Drama Romance nan
86,White Squall (1996),Action|Adventure|Drama,,White Squall  1996  Action Adventure Drama nan
