,movieId,count_ratings,mean_ratings
0,107723,1,3.0
1,108078,1,5.0
2,107999,1,4.0
3,107962,1,2.0
4,107951,1,5.0
5,107945,1,2.0
6,107846,1,3.5
7,107780,1,4.0
8,107771,1,5.0
9,4451,1,3.5
10,107630,1,4.5
11,107462,1,4.5
12,107449,1,1.5
13,4449,1,2.0
14,4445,1,4.0
15,4436,1,3.0
16,4434,1,4.0
17,47384,1,2.5
18,4453,1,3.5
19,4454,1,5.0
20,4458,1,4.0
21,4459,1,4.0
22,4463,1,2.0
23,4473,1,3.0
24,4475,1,4.0
25,4490,1,2.0
26,4495,1,5.0
27,4496,1,3.5
28,4497,1,3.0
29,94011,1,1.5
30,94122,1,2.0
31,94160,1,3.0
32,94262,1,3.0
33,4374,1,4.5
34,108540,1,4.5
35,108601,1,2.0
36,108715,1,1.5
37,108795,1,5.0
38,4357,1,4.5
39,47446,1,3.5
40,47516,1,2.0
41,47538,1,2.5
42,47566,1,4.0
43,47646,1,4.0
44,47721,1,3.5
45,47736,1,5.0
46,47774,1,3.0
47,47793,1,2.5
48,4371,1,0.5
49,94325,1,4.0
50,4384,1,3.0
51,4393,1,4.5
52,4394,1,1.5
53,4395,1,4.0
54,4402,1,5.0
55,4404,1,4.0
56,4407,1,4.5
57,4408,1,3.5
58,4410,1,4.0
59,4420,1,3.0
60,46855,1,4.5
61,46862,1,3.5
62,46865,1,1.0
63,47202,1,4.0
64,47254,1,3.5
65,4660,1,4.0
66,94867,1,3.5
67,94810,1,5.0
68,94799,1,3.5
69,94735,1,4.0
70,94661,1,4.0
71,4671,1,3.5
72,4670,1,2.5
73,4666,1,3.0
74,94919,1,2.5
75,4658,1,3.5
76,4653,1,3.0
77,4646,1,1.5
78,4645,1,4.5
79,4635,1,1.0
80,4630,1,1.0
81,4615,1,4.0
82,4614,1,2.5
83,94931,1,3.5
84,45658,1,2.0
85,4675,1,1.0
86,4687,1,3.5
87,4689,1,3.5
88,4695,1,4.0
89,4704,1,3.0
90,4705,1,3.0
91,106927,1,3.0
92,107013,1,0.5
93,107159,1,4.0
94,107338,1,2.5
95,107408,1,4.5
96,107410,1,4.0
97,107412,1,4.5
98,46574,1,2.5
99,94494,1,2.5
100,4500,1,4.0
101,4504,1,1.5
102,4505,1,3.0
103,4511,1,2.0
104,4521,1,3.0
105,4522,1,1.0
106,4524,1,3.0
107,4557,1,3.0
108,4562,1,4.0
109,45969,1,2.5
110,46105,1,4.5
111,46231,1,2.0
112,46367,1,2.0
113,46559,1,3.5
114,108192,1,3.5
115,46664,1,2.5
116,46772,1,2.5
117,4568,1,2.5
118,4573,1,2.0
119,4581,1,4.0
120,4583,1,4.0
121,4584,1,2.0
122,4594,1,3.0
123,4595,1,3.5
124,4597,1,2.0
125,4603,1,2.5
126,4610,1,2.0
127,4611,1,4.0
128,4612,1,4.5
129,4613,1,2.0
130,49666,1,3.0
131,4111,1,3.0
132,4110,1,3.0
133,4093,1,1.5
134,4089,1,2.0
135,4083,1,4.0
136,49917,1,4.0
137,49735,1,3.5
138,49688,1,4.0
139,48741,1,4.0
140,49314,1,3.0
141,4078,1,4.0
142,4074,1,3.0
143,4065,1,2.5
144,4064,1,3.5
145,4051,1,0.5
146,4046,1,4.0
147,110586,1,4.0
148,48872,1,4.5
149,49110,1,2.0
150,49263,1,3.0
151,49265,1,4.0
152,109596,1,4.0
153,109633,1,5.0
154,109687,1,5.0
155,109723,1,3.5
156,109897,1,0.5
157,4115,1,2.0
158,4116,1,5.0
159,4123,1,2.0
160,4129,1,1.0
161,4135,1,5.0
162,4139,1,3.0
163,111146,1,4.5
164,50613,1,4.5
165,50806,1,1.0
166,111375,1,2.5
167,111384,1,4.0
168,111551,1,3.5
169,111680,1,1.5
170,111732,1,3.5
171,110591,1,4.5
172,110603,1,0.5
173,110611,1,2.5
174,110718,1,4.0
175,110746,1,4.0
176,110773,1,0.5
177,110781,1,2.5
178,110826,1,1.5
179,4143,1,3.5
180,111320,1,1.5
181,50064,1,3.0
182,50147,1,2.0
183,50354,1,3.0
184,50356,1,3.0
185,50440,1,2.0
186,4032,1,4.0
187,109941,1,3.0
188,109971,1,4.5
189,110281,1,4.0
190,110286,1,3.5
191,110330,1,4.5
192,110350,1,4.5
193,110387,1,4.0
194,110541,1,2.5
195,109317,1,2.5
196,47952,1,3.0
197,47937,1,3.0
198,4290,1,2.0
199,4284,1,3.0
200,4282,1,3.5
201,4260,1,2.0
202,109416,1,2.0
203,109383,1,3.5
204,47978,1,2.5
205,109313,1,4.0
206,109295,1,2.0
207,109282,1,3.0
208,109241,1,5.0
209,109191,1,1.5
210,109183,1,2.0
211,109161,1,4.5
212,48649,1,4.5
213,48001,1,4.0
214,48032,1,4.0
215,48045,1,4.0
216,48150,1,3.0
217,48214,1,3.5
218,48262,1,4.0
219,48319,1,2.0
220,4307,1,4.5
221,4323,1,4.0
222,4325,1,4.0
223,4338,1,4.5
224,4342,1,4.5
225,4353,1,3.0
226,4354,1,2.5
227,108090,1,3.5
228,4189,1,2.5
229,4156,1,2.0
230,4157,1,4.5
231,93598,1,2.5
232,93610,1,3.0
233,93740,1,1.5
234,93790,1,4.0
235,93819,1,3.5
236,93855,1,4.5
237,93982,1,2.0
238,93988,1,4.5
239,4171,1,4.0
240,4174,1,3.0
241,4180,1,5.0
242,4181,1,2.0
243,4184,1,4.0
244,107436,1,3.0
245,4197,1,3.0
246,4198,1,3.0
247,4202,1,3.0
248,4204,1,1.0
249,4212,1,3.0
250,4218,1,3.5
251,4236,1,3.5
252,4237,1,4.0
253,4240,1,2.0
254,4242,1,2.0
255,4243,1,4.0
256,4251,1,2.0
257,108981,1,4.5
258,48416,1,2.5
259,48560,1,2.5
260,5237,1,4.0
261,5268,1,2.5
262,41014,1,4.0
263,40966,1,3.5
264,40617,1,3.0
265,5244,1,5.0
266,5241,1,5.0
267,5240,1,4.0
268,5239,1,4.0
269,5269,1,4.0
270,5231,1,3.5
271,5221,1,3.0
272,5213,1,1.5
273,5212,1,3.0
274,5209,1,2.0
275,5198,1,3.5
276,5197,1,2.0
277,5189,1,1.5
278,5272,1,3.0
279,5275,1,1.5
280,5278,1,1.0
281,5284,1,2.5
282,5285,1,4.0
