,movieId,titulo_movie_lens,count_ratings
0,1,Toy Story (1995),215
1,2,Jumanji (1995),110
2,3,Grumpier Old Men (1995),52
3,4,Waiting to Exhale (1995),7
4,5,Father of the Bride Part II (1995),49
5,6,Heat (1995),102
6,7,Sabrina (1995),54
7,8,Tom and Huck (1995),8
8,9,Sudden Death (1995),16
9,10,GoldenEye (1995),132
10,11,"American President, The (1995)",70
11,12,Dracula: Dead and Loving It (1995),19
12,13,Balto (1995),8
13,14,Nixon (1995),18
14,15,Cutthroat Island (1995),13
15,16,Casino (1995),82
16,17,Sense and Sensibility (1995),67
17,18,Four Rooms (1995),20
18,19,Ace Ventura: When Nature Calls (1995),88
19,20,Money Train (1995),15
20,21,Get Shorty (1995),89
21,22,Copycat (1995),36
22,23,Assassins (1995),16
23,24,Powder (1995),28
24,25,Leaving Las Vegas (1995),76
25,26,Othello (1995),13
26,27,Now and Then (1995),9
27,28,Persuasion (1995),11
28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",38
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3
30,31,Dangerous Minds (1995),38
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),177
32,34,Babe (1995),128
33,36,Dead Man Walking (1995),67
34,38,It Takes Two (1995),4
35,39,Clueless (1995),104
36,40,"Cry, the Beloved Country (1995)",2
37,41,Richard III (1995),15
38,42,Dead Presidents (1995),7
39,43,Restoration (1995),8
40,44,Mortal Kombat (1995),46
41,45,To Die For (1995),32
42,46,How to Make an American Quilt (1995),15
43,47,Seven (a.k.a. Se7en) (1995),203
44,48,Pocahontas (1995),68
45,49,When Night Is Falling (1995),1
46,50,"Usual Suspects, The (1995)",204
47,52,Mighty Aphrodite (1995),28
48,53,Lamerica (1994),2
49,54,"Big Green, The (1995)",3
50,55,Georgia (1995),1
51,57,Home for the Holidays (1995),8
52,58,"Postman, The (Postino, Il) (1994)",37
53,60,"Indian in the Cupboard, The (1995)",34
54,61,Eye for an Eye (1996),6
55,62,Mr. Holland's Opus (1995),80
56,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),7
57,64,Two if by Sea (1996),5
58,65,Bio-Dome (1996),31
59,66,Lawnmower Man 2: Beyond Cyberspace (1996),9
60,68,French Twist (Gazon maudit) (1995),5
61,69,Friday (1995),20
62,70,From Dusk Till Dawn (1996),55
63,71,Fair Game (1995),5
64,72,Kicking and Screaming (1995),7
65,73,"Misérables, Les (1995)",13
66,74,Bed of Roses (1996),8
67,75,Big Bully (1996),5
68,76,Screamers (1995),15
69,77,Nico Icon (1995),1
70,78,"Crossing Guard, The (1995)",3
71,79,"Juror, The (1996)",17
72,80,"White Balloon, The (Badkonake sefid) (1995)",2
73,81,Things to Do in Denver When You're Dead (1995),14
74,82,Antonia's Line (Antonia) (1995),8
75,83,Once Upon a Time... When We Were Colored (1995),1
76,85,Angels and Insects (1995),7
77,86,White Squall (1996),15
78,87,Dunston Checks In (1996),7
79,88,Black Sheep (1996),16
80,89,Nick of Time (1995),10
81,92,Mary Reilly (1996),8
82,93,Vampire in Brooklyn (1995),9
83,94,Beautiful Girls (1996),10
84,95,Broken Arrow (1996),84
85,96,In the Bleak Midwinter (1995),1
86,97,"Hate (Haine, La) (1995)",10
87,99,Heidi Fleiss: Hollywood Madam (1995),2
88,100,City Hall (1996),14
89,101,Bottle Rocket (1996),23
90,102,Mr. Wrong (1996),5
91,103,Unforgettable (1996),3
92,104,Happy Gilmore (1996),99
93,105,"Bridges of Madison County, The (1995)",23
94,106,Nobody Loves Me (Keiner liebt mich) (1994),1
95,107,Muppet Treasure Island (1996),26
96,108,Catwalk (1996),1
97,110,Braveheart (1995),237
98,111,Taxi Driver (1976),104
99,112,Rumble in the Bronx (Hont faan kui) (1995),46
100,113,Before and After (1996),3
101,116,Anne Frank Remembered (1995),5
102,117,"Young Poisoner's Handbook, The (1995)",1
103,118,If Lucy Fell (1996),2
104,119,"Steal Big, Steal Little (1995)",2
105,121,"Boys of St. Vincent, The (1992)",2
106,122,Boomerang (1992),16
107,123,Chungking Express (Chung Hing sam lam) (1994),4
108,125,Flirting With Disaster (1996),12
109,126,"NeverEnding Story III, The (1994)",7
110,128,Jupiter's Wife (1994),1
111,129,Pie in the Sky (1996),1
112,132,Jade (1995),6
113,135,Down Periscope (1996),31
114,137,Man of the Year (1995),1
115,140,Up Close and Personal (1996),16
116,141,"Birdcage, The (1996)",86
117,144,"Brothers McMullen, The (1995)",12
118,145,Bad Boys (1995),51
119,146,"Amazing Panda Adventure, The (1995)",3
120,147,"Basketball Diaries, The (1995)",15
121,148,"Awfully Big Adventure, An (1995)",1
122,149,Amateur (1994),1
123,150,Apollo 13 (1995),201
124,151,Rob Roy (1995),44
125,152,"Addiction, The (1995)",2
126,153,Batman Forever (1995),137
127,154,Beauty of the Day (Belle de jour) (1967),12
128,155,Beyond Rangoon (1995),6
129,156,Blue in the Face (1995),3
130,157,Canadian Bacon (1995),11
131,158,Casper (1995),62
132,159,Clockers (1995),14
133,160,Congo (1995),57
134,161,Crimson Tide (1995),103
135,162,Crumb (1994),17
136,163,Desperado (1995),66
137,164,Devil in a Blue Dress (1995),14
138,165,Die Hard: With a Vengeance (1995),144
139,166,"Doom Generation, The (1995)",3
140,168,First Knight (1995),54
141,169,Free Willy 2: The Adventure Home (1995),10
142,170,Hackers (1995),35
143,171,Jeffrey (1995),6
144,172,Johnny Mnemonic (1995),53
145,173,Judge Dredd (1995),62
146,174,Jury Duty (1995),10
147,175,Kids (1995),20
148,176,Living in Oblivion (1995),13
149,177,Lord of Illusions (1995),8
150,178,Love & Human Remains (1993),1
151,179,Mad Love (1995),2
152,180,Mallrats (1995),36
153,181,Mighty Morphin Power Rangers: The Movie (1995),17
154,183,Mute Witness (1994),2
155,184,Nadja (1994),2
156,185,"Net, The (1995)",112
157,186,Nine Months (1995),48
158,187,Party Girl (1995),4
159,188,"Prophecy, The (1995)",12
160,189,Reckless (1995),1
161,190,Safe (1995),5
162,191,"Scarlet Letter, The (1995)",6
163,193,Showgirls (1995),35
164,194,Smoke (1995),18
165,195,Something to Talk About (1995),10
166,196,Species (1995),45
167,198,Strange Days (1995),28
168,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",4
169,201,Three Wishes (1995),1
170,202,Total Eclipse (1995),1
171,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",22
172,204,Under Siege 2: Dark Territory (1995),30
173,205,Unstrung Heroes (1995),9
174,206,Unzipped (1995),2
175,207,"Walk in the Clouds, A (1995)",21
176,208,Waterworld (1995),115
177,209,White Man's Burden (1995),3
178,210,Wild Bill (1995),4
179,211,"Browning Version, The (1994)",2
180,212,Bushwhacked (1995),3
181,213,Burnt by the Sun (Utomlyonnye solntsem) (1994),6
182,214,Before the Rain (Pred dozhdot) (1994),2
183,215,Before Sunrise (1995),24
184,216,Billy Madison (1995),49
185,217,"Babysitter, The (1995)",6
186,218,Boys on the Side (1995),14
187,219,"Cure, The (1995)",1
188,220,Castle Freak (1995),1
189,222,Circle of Friends (1995),16
190,223,Clerks (1994),104
191,224,Don Juan DeMarco (1995),40
192,225,Disclosure (1994),52
193,227,Drop Zone (1994),22
194,228,Destiny Turns on the Radio (1995),3
195,229,Death and the Maiden (1994),7
196,230,Dolores Claiborne (1995),24
197,231,Dumb & Dumber (Dumb and Dumber) (1994),133
198,232,Eat Drink Man Woman (Yin shi nan nu) (1994),14
199,233,Exotica (1994),12
200,234,Exit to Eden (1994),17
201,235,Ed Wood (1994),70
202,236,French Kiss (1995),45
203,237,Forget Paris (1995),22
204,238,Far From Home: The Adventures of Yellow Dog (1995),2
205,239,"Goofy Movie, A (1995)",17
206,240,Hideaway (1995),4
207,241,Fluke (1995),1
208,242,Farinelli: il castrato (1994),5
209,243,Gordy (1995),1
210,246,Hoop Dreams (1994),29
211,247,Heavenly Creatures (1994),21
212,248,Houseguest (1994),17
213,249,Immortal Beloved (1994),18
214,250,Heavyweights (Heavy Weights) (1995),6
215,251,"Hunted, The (1995)",3
216,252,I.Q. (1994),43
217,253,Interview with the Vampire: The Vampire Chronicles (1994),109
218,254,Jefferson in Paris (1995),1
219,255,"Jerky Boys, The (1995)",7
220,256,Junior (1994),35
221,257,Just Cause (1995),14
222,258,"Kid in King Arthur's Court, A (1995)",10
223,259,Kiss of Death (1995),5
224,260,Star Wars: Episode IV - A New Hope (1977),251
225,261,Little Women (1994),42
226,262,"Little Princess, A (1995)",21
227,263,Ladybird Ladybird (1994),1
228,265,Like Water for Chocolate (Como agua para chocolate) (1992),33
229,266,Legends of the Fall (1994),68
230,267,Major Payne (1995),17
231,269,My Crazy Life (Mi vida loca) (1993),2
232,270,Love Affair (1994),5
233,271,Losing Isaiah (1995),4
234,272,"Madness of King George, The (1994)",31
235,273,Mary Shelley's Frankenstein (Frankenstein) (1994),28
236,274,Man of the House (1995),7
237,275,Mixed Nuts (1994),6
238,276,Milk Money (1994),22
239,277,Miracle on 34th Street (1994),38
240,278,Miami Rhapsody (1995),2
241,279,My Family (1995),2
242,280,Murder in the First (1995),13
243,281,Nobody's Fool (1994),14
244,282,Nell (1994),40
245,283,New Jersey Drive (1995),3
246,284,New York Cop (Nyû Yôku no koppu) (1993),1
247,285,Beyond Bedlam (1993),1
248,287,Nina Takes a Lover (1994),1
249,288,Natural Born Killers (1994),92
250,289,Only You (1994),8
251,290,Once Were Warriors (1994),14
252,291,Poison Ivy II (1996),3
253,292,Outbreak (1995),101
254,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),133
255,294,"Perez Family, The (1995)",2
256,295,"Pyromaniac's Love Story, A (1995)",1
257,296,Pulp Fiction (1994),307
258,298,Pushing Hands (Tui shou) (1992),1
259,299,Priest (1994),4
260,300,Quiz Show (1994),81
261,301,Picture Bride (Bijo photo) (1994),1
262,302,"Queen Margot (Reine Margot, La) (1994)",5
263,303,"Quick and the Dead, The (1995)",32
264,304,Roommates (1995),3
265,305,Ready to Wear (Pret-A-Porter) (1994),9
266,306,Three Colors: Red (Trois couleurs: Rouge) (1994),16
267,307,Three Colors: Blue (Trois couleurs: Bleu) (1993),24
268,308,Three Colors: White (Trzy kolory: Bialy) (1994),20
269,310,Rent-a-Kid (1995),1
270,311,Relative Fear (1994),1
271,312,Stuart Saves His Family (1995),9
272,313,"Swan Princess, The (1994)",3
273,314,"Secret of Roan Inish, The (1994)",16
274,315,"Specialist, The (1994)",38
275,316,Stargate (1994),140
276,317,"Santa Clause, The (1994)",81
277,318,"Shawshank Redemption, The (1994)",317
278,319,Shallow Grave (1994),20
279,320,Suture (1993),1
280,321,Strawberry and Chocolate (Fresa y chocolate) (1993),2
281,322,Swimming with Sharks (1995),10
282,324,"Sum of Us, The (1994)",1
283,325,National Lampoon's Senior Trip (1995),7
284,326,To Live (Huozhe) (1994),3
