userId,porcentagem_coberta,filmes_apareceram,filmes_nao_apareceram
1,25.0,"[608, 1025, 1090, 3, 2948, 1029, 2949, 2115, 3034, 3448, 3440, 1270, 1208, 1210, 2046]","[1024, 1, 1920, 2947, 6, 1804, 1805, 2700, 527, 1552, 2193, 2450, 1275, 2580, 661, 2459, 2716, 2596, 1573, 2099, 2616, 2105, 1213, 1089, 1092, 457, 2761, 3671, 216, 2268, 733, 480, 2273, 231, 235, 2028, 1517, 3052, 3053, 1265, 2033, 3441, 3702, 3703, 2427]"
2,33.33,"[80489, 79132]","[1704, 80906, 333, 3578]"
3,16.67,[849],"[2288, 1587, 6835, 7899, 5919]"
4,17.95,"[1225, 1517, 1136, 3508, 919, 1466, 1086]","[2692, 3851, 3083, 4239, 914, 4246, 920, 2203, 1947, 2204, 800, 162, 1967, 2351, 4273, 708, 2762, 1103, 3408, 345, 348, 1500, 1250, 3044, 2791, 106, 1259, 368, 3060, 1914, 892, 125]"
5,55.56,"[290, 296, 594, 595, 596]","[1, 34, 21, 367]"
6,13.64,"[248, 1064, 367, 852, 440, 60]","[2, 3, 5, 141, 24, 281, 26, 32, 292, 304, 1082, 700, 61, 62, 450, 195, 708, 709, 454, 838, 590, 207, 848, 337, 210, 339, 340, 593, 594, 361, 491, 364, 110, 112, 500, 252, 250, 508]"
7,28.57,"[4993, 8961, 5445, 7143, 150, 924]","[1, 4995, 8957, 3114, 6539, 780, 1610, 750, 6863, 1584, 3408, 50, 8949, 1270, 3869]"
8,12.5,[593],"[2, 296, 11, 590, 21, 253, 318]"
9,0.0,[],"[5218, 5445, 5447, 5965, 6001, 922, 923, 223]"
10,53.33,"[33794, 103339, 588, 7153, 79091, 104374, 49272, 6942]","[88163, 106696, 7149, 912, 1907, 40819, 81845]"
11,15.38,"[457, 474]","[480, 36, 1604, 6, 1608, 780, 1101, 110, 2028, 1210, 1693]"
12,44.44,"[2072, 8533, 2485, 39]","[168, 2572, 6942, 40629, 222]"
13,50.0,"[3793, 3798, 47]","[1590, 3827, 1198]"
14,28.57,"[376, 356]","[32, 47, 593, 339, 25]"
15,33.33,"[260, 122886, 134130, 1240, 1210, 1214]","[2916, 296, 2858, 2571, 112556, 4720, 71057, 4018, 4370, 84152, 69757, 318]"
16,27.78,"[91529, 913, 5618, 1208, 1276]","[4226, 78499, 293, 1261, 750, 111, 4973, 849, 50, 1203, 1267, 1207, 68954]"
17,51.85,"[4993, 4226, 1089, 1090, 1221, 1222, 2762, 2571, 1291, 589, 47, 7153, 79132, 1213]","[1, 78499, 2858, 1036, 590, 527, 80463, 50, 1405, 1270, 7482, 4571, 27773]"
18,33.73,"[111362, 6, 122886, 1036, 54286, 2959, 16, 89745, 150548, 2324, 79132, 122918, 99114, 431, 1201, 1203, 1080, 45499, 1732, 1221, 1223, 88140, 8665, 37729, 99813, 745, 98809, 77561]","[6787, 59784, 778, 6539, 780, 122900, 4886, 45722, 32, 155168, 78499, 112421, 4007, 6440, 180777, 185135, 36529, 180, 157108, 1206, 2997, 3896, 1721, 8117, 65596, 1086, 1729, 71108, 64197, 1222, 5445, 112334, 55118, 5464, 71899, 2268, 8798, 223, 4963, 356, 37733, 5608, 90600, 235, 1260, 3949, 4973, 3052, 55276, 508, 2291, 1270, 44665, 1276, 69757]"
19,30.3,"[32, 3745, 34, 551, 2762, 1967, 2005, 1240, 541, 1086]","[1, 1923, 2186, 3471, 3477, 2716, 2723, 818, 2997, 1079, 2359, 837, 457, 1097, 2253, 1234, 852, 3035, 1372, 1374, 1376, 1256, 3056]"
20,43.24,"[2080, 1025, 1282, 2081, 5952, 3397, 3398, 13, 4014, 595, 596, 2804, 1022, 5816, 2140, 2078]","[4886, 5015, 5785, 34, 48, 4016, 2746, 2761, 1489, 594, 3410, 4310, 4700, 2141, 6365, 5218, 1380, 5103, 2161, 1013, 3967]"
21,53.33,"[53121, 5378, 260, 53125, 10, 3082, 3984, 7569, 7570, 8984, 117529, 78499, 4005, 5418, 1196, 1198, 94777, 2115, 2376, 53322, 4306, 2012, 119145, 77561]","[104841, 8972, 152081, 2717, 115617, 72998, 3253, 105653, 95170, 5445, 2763, 3022, 164179, 94677, 355, 2916, 743, 7143, 33004, 106487, 167036]"
22,0.0,[],"[4036, 4903, 107, 48780, 55820, 2160, 4848, 49272, 2300, 253, 3006, 216]"
23,40.0,"[50, 5971, 2579, 923, 924, 29]","[1089, 2467, 6, 6440, 1232, 1233, 1237, 5782, 2686]"
24,16.67,"[296, 6, 58559]","[7143, 119145, 3147, 6350, 1265, 50, 134130, 1396, 132660, 58998, 1527, 3578, 64957, 2686, 5791]"
25,66.67,"[260, 60069, 122916, 527, 59315, 58559]","[177593, 176371, 231]"
26,66.67,"[296, 47]",[165]
27,30.77,"[2080, 3681, 34, 2628, 1196, 595, 1276, 1148]","[2529, 2, 2565, 1287, 648, 969, 3114, 1197, 2094, 590, 48, 1584, 2100, 3350, 1015, 3448, 986, 3836]"
28,25.71,"[260, 60069, 2021, 296, 1256, 1196, 4878, 7438, 858]","[53123, 60684, 54286, 70286, 5010, 7458, 293, 72998, 38061, 36529, 3250, 7481, 2105, 8644, 3272, 590, 55118, 1249, 3300, 34405, 2278, 60389, 1266, 8950, 26614, 4223]"
29,38.1,"[48516, 48774, 2028, 1136, 150, 953, 1242, 924]","[1250, 165, 4327, 1224, 87306, 98961, 5010, 51540, 5464, 1945, 82459, 316, 2301]"
30,40.0,"[5952, 7153, 33794, 260]","[93510, 110, 96821, 95510, 122904, 318]"
31,0.0,[],"[736, 1, 7, 648, 1353, 10, 1196, 1197, 1356, 1073, 1361, 733]"
32,11.11,"[1196, 141]","[194, 100, 7, 296, 1036, 1197, 1198, 314, 592, 912, 852, 21, 25, 538, 539, 318]"
33,0.0,[],"[1923, 261, 1673, 17, 21, 28, 1056, 1059, 1060, 1446, 715, 1358, 337, 339, 345, 475, 2396, 1885, 223, 608, 1888, 613, 232, 1641, 2539, 2542, 497, 1393, 1653, 507]"
34,13.33,"[6721, 4643]","[356, 3717, 3624, 10, 44974, 27193, 4720, 6711, 3000, 27801, 6618, 318, 4447]"
35,0.0,[],"[261, 11, 300, 50, 21, 252]"
36,33.33,[1234],"[318, 1262]"
