,movie_id,title,score_recomendacao
2226,2959,Fight Club (1999),0.9971569839307788
6710,58559,"Dark Knight, The (2008)",0.9969612690564483
287,329,Star Trek: Generations (1994),0.9965492377420685
254,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),0.9962196126905646
509,592,Batman (1989),0.995982694684796
325,367,"Mask, The (1994)",0.9958384837247631
1298,1732,"Big Lebowski, The (1998)",0.9952925422332097
18,19,Ace Ventura: When Nature Calls (1995),0.9949114132674084
275,316,Stargate (1994),0.9942212608158221
224,260,Star Wars: Episode IV - A New Hope (1977),0.9936341161928307
