,movieId,titulo_movie_lens
1173,1556,Speed 2: Cruise Control (1997)
529,618,Two Much (1995)
250,289,Only You (1994)
433,496,What Happened Was... (1994)
3105,4168,Get Over It (2001)
2425,3225,Down to You (2000)
1870,2485,She's All That (1999)
632,804,She's the One (1996)
6070,40962,"Yours, Mine and Ours (2005)"
1856,2468,Jumpin' Jack Flash (1986)
157,186,Nine Months (1995)
4268,6228,"Talk of the Town, The (1942)"
152,180,Mallrats (1995)
337,380,True Lies (1994)
1413,1934,You Can't Take It with You (1938)
361,417,Barcelona (1994)
482,550,Threesome (1994)
335,378,Speechless (1994)
8837,132422,Da Sweet Blood of Jesus (2014)
8845,132660,Man Up (2015)
6152,44193,She's the Man (2006)
4714,7032,Revenge (1990)
4009,5666,"Rules of Attraction, The (2002)"
8371,109372,About Last Night (2014)
5028,7826,"Secret Life of Walter Mitty, The (1947)"
2444,3257,"Bodyguard, The (1992)"
8868,134004,What Love Is (2007)
9278,158783,The Handmaiden (2016)
2677,3584,Breathless (1983)
2914,3909,Woman on Top (2000)
1958,2597,Lost & Found (1999)
8416,110771,"Other Woman, The (2014)"
3144,4231,Someone Like You (2001)
476,543,So I Married an Axe Murderer (1993)
57,64,Two if by Sea (1996)
6352,49286,"Holiday, The (2006)"
255,294,"Perez Family, The (1995)"
1868,2482,Still Crazy (1998)
216,252,I.Q. (1994)
7556,85367,Just Go with It (2011)
4919,7375,"Prince & Me, The (2004)"
3608,4956,"Stunt Man, The (1980)"
8460,112450,They Came Together (2014)
1131,1479,"Saint, The (1997)"
7729,90576,What's Your Number? (2011)
2585,3454,Whatever It Takes (2000)
7349,78264,"Back-up Plan, The (2010)"
2243,2978,Three to Tango (1999)
7248,74154,When in Rome (2010)
5591,26871,My Father the Hero (1994)
5332,8869,First Daughter (2004)
7416,80549,Easy A (2010)
6744,59333,Made of Honor (2008)
6476,52867,"Ex, The (2007)"
4283,6252,View from the Top (2003)
3780,5284,Crush (2001)
2506,3353,"Closer You Get, The (2000)"
2695,3616,Loser (2000)
2263,3004,"Bachelor, The (1999)"
7213,73015,It's Complicated (2009)
9161,148956,How to Be Single (2016)
9173,149508,Spellbound (2011)
4199,6060,"Guru, The (2002)"
8543,115502,"Rewrite, The (2014)"
7056,69406,"Proposal, The (2009)"
7390,79590,"Rebound, The (2009)"
2616,3501,Murphy's Romance (1985)
5794,31685,Hitch (2005)
5833,32298,Guess Who (2005)
2633,3524,Arthur (1981)
9009,140301,The Escort (2015)
4699,7015,Only the Lonely (1991)
1227,1629,"MatchMaker, The (1997)"
7408,80166,"Switch, The (2010)"
8516,114265,Laggies (2014)
8841,132488,Lovesick (2014)
6739,59220,Outsourced (2006)
7066,69604,Whatever Works (2009)
4497,6658,10 (1979)
6402,50806,Norbit (2007)
5331,8866,Wimbledon (2004)
8885,134393,Trainwreck (2015)
3079,4132,Mannequin (1987)
5256,8623,Roxanne (1987)
7870,94150,Hysteria (2011)
7973,96530,Conception (2011)
1125,1468,Booty Call (1997)
8208,103502,"Knot, The (2012)"
5322,8836,Wicker Park (2004)
8133,101612,Admission (2013)
8256,104906,Austenland (2013)
8432,111622,Begin Again (2013)
8435,111680,At Middleton (2013)
238,276,Milk Money (1994)
2556,3422,She's Gotta Have It (1986)
9127,147196,The Girls (1961)
3445,4699,Original Sin (2001)
1668,2244,"Allnighter, The (1987)"
5252,8614,Overboard (1987)
3777,5279,Impromptu (1991)
