,movieId,titulo_movie_lens,score_recomendacao
5,6,Heat (1995),0.9173388080221405
2,3,Grumpier Old Men (1995),0.893995948989438
156,185,"Net, The (1995)",0.8888911510625085
337,380,True Lies (1994),0.8460237739158527
19,20,Money Train (1995),0.8177296141525455
157,186,Nine Months (1995),0.7943117279708495
409,471,"Hudsucker Proxy, The (1994)",0.7906944136779158
70,78,"Crossing Guard, The (1995)",0.790622598110353
361,417,Barcelona (1994),0.7869737276627676
152,180,Mallrats (1995),0.7846239232674589
250,289,Only You (1994),0.7717357317000995
213,249,Immortal Beloved (1994),0.7709474929561031
406,468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",0.7682274376431297
335,378,Speechless (1994),0.7676736122385045
482,550,Threesome (1994),0.7577519886469068
225,261,Little Women (1994),0.7536761634764398
364,420,Beverly Hills Cop III (1994),0.7469504432998976
309,351,"Corrina, Corrina (1994)",0.7452410871823656
328,370,Naked Gun 33 1/3: The Final Insult (1994),0.7368439381348904
5591,26871,My Father the Hero (1994),0.7338466220021166
142,170,Hackers (1995),0.7296450592025296
223,259,Kiss of Death (1995),0.7288068522468069
330,372,Reality Bites (1994),0.7255299370344584
73,81,Things to Do in Denver When You're Dead (1995),0.722331512240949
60,68,French Twist (Gazon maudit) (1995),0.7218845068859353
248,287,Nina Takes a Lover (1994),0.7198628789489239
6959,65740,Revenge of the Nerds IV: Nerds in Love (1994),0.7198628789489239
99,112,Rumble in the Bronx (Hont faan kui) (1995),0.7005079225192339
167,198,Strange Days (1995),0.6983722484043262
255,294,"Perez Family, The (1995)",0.697979140241145
2299,3046,"Incredibly True Adventure of Two Girls in Love, The (1995)",0.697979140241145
2963,3972,"Legend of Drunken Master, The (Jui kuen II) (1994)",0.693929497066514
6424,51357,Citizen X (1995),0.6909177425488239
256,295,"Pyromaniac's Love Story, A (1995)",0.6839953971879523
529,618,Two Much (1995),0.6839953971879523
9,10,GoldenEye (1995),0.6830382022995857
306,348,Bullets Over Broadway (1994),0.6775425960847286
318,360,I Love Trouble (1994),0.6719954185954342
334,377,Speed (1994),0.6655604295353373
165,195,Something to Talk About (1995),0.664487255942097
185,217,"Babysitter, The (1995)",0.66382919437545
532,627,"Last Supper, The (1995)",0.66382919437545
93,105,"Bridges of Madison County, The (1995)",0.663592829894994
449,514,"Ref, The (1994)",0.6606589815440242
175,207,"Walk in the Clouds, A (1995)",0.6605919681335354
200,234,Exit to Eden (1994),0.6587943028954191
541,638,Jack and Sarah (1995),0.6582096406429753
232,270,Love Affair (1994),0.6553095077683528
262,302,"Queen Margot (Reine Margot, La) (1994)",0.6553095077683528
112,132,Jade (1995),0.653814559301074
3,4,Waiting to Exhale (1995),0.6535043746503629
344,387,"Low Down Dirty Shame, A (1994)",0.6517237416305902
6,7,Sabrina (1995),0.6505270195509117
402,461,Go Fish (1994),0.6490215738567015
161,190,Safe (1995),0.6484981869300035
205,239,"Goofy Movie, A (1995)",0.6469380918415513
317,359,I Like It Like That (1994),0.6428309558083535
4149,5969,My Girl 2 (1994),0.6428309558083535
206,240,Hideaway (1995),0.6422102530183521
265,305,Ready to Wear (Pret-A-Porter) (1994),0.6385226259305751
381,437,Cops and Robbersons (1994),0.6385226259305751
377,433,Clean Slate (1994),0.6348889362506288
4986,7669,Pride and Prejudice (1995),0.6333995293385523
20,21,Get Shorty (1995),0.6333960589376051
440,505,North (1994),0.6308268167890339
144,172,Johnny Mnemonic (1995),0.6298201702617022
484,552,"Three Musketeers, The (1993)",0.6278259799795534
237,275,Mixed Nuts (1994),0.6262215655685066
358,414,"Air Up There, The (1994)",0.6262215655685066
373,429,Cabin Boy (1994),0.6262215655685066
76,85,Angels and Insects (1995),0.625703720197011
38,42,Dead Presidents (1995),0.6250930654257711
1082,1406,La Cérémonie (1995),0.6222226212920549
80,89,Nick of Time (1995),0.6213265123861256
162,191,"Scarlet Letter, The (1995)",0.6210984689764838
4585,6811,PCU (1994),0.6209051931974362
261,301,Picture Bride (Bijo photo) (1994),0.6174203980703699
674,889,1-900 (06) (1994),0.6174203980703699
453,518,"Road to Wellville, The (1994)",0.6146172592857848
1955,2593,"Monster, The (Mostro, Il) (1994)",0.6146172592857848
274,315,"Specialist, The (1994)",0.6138622438379475
665,875,Nothing to Lose (1994),0.6094831578375963
1481,2006,"Mask of Zorro, The (1998)",0.6089253675071626
401,460,Getting Even with Dad (1994),0.6069214501442436
4593,6827,It's Pat (1994),0.6069214501442436
5590,26870,Major League II (1994),0.6069214501442436
582,715,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",0.6017983535522208
779,1021,Angels in the Outfield (1994),0.6003036597672435
332,374,Richie Rich (1994),0.5977478126177167
491,564,Chasers (1994),0.5969998265526459
3696,5096,Baby's Day Out (1994),0.5969998265526459
52,58,"Postman, The (Postino, Il) (1994)",0.5952349251138003
420,482,Killing Zoe (1994),0.5928406442585401
286,328,Tales from the Crypt Presents: Demon Knight (1995),0.5921413865915442
151,179,Mad Love (1995),0.5918767299606231
608,764,Heavy (1995),0.5918767299606231
341,384,Bad Company (1995),0.5912660751893832
203,237,Forget Paris (1995),0.5900164302480413
326,368,Maverick (1994),0.5890153363652744
68,76,Screamers (1995),0.5878689411021243
