,movieId,titulo_movie_lens,score_recomendacao
1009,1320,Alien³ (a.k.a. Alien 3) (1992),0.808678201922383
3746,5219,Resident Evil (2002),0.7986372774909002
2043,2722,Deep Blue Sea (1999),0.7887436007171703
794,1037,"Lawnmower Man, The (1992)",0.7636832190925822
2477,3300,Pitch Black (2000),0.7610435797472923
2860,3826,Hollow Man (2000),0.7610435797472923
5312,8810,AVP: Alien vs. Predator (2004),0.7583516496387662
1275,1690,Alien: Resurrection (1997),0.7484546222782735
5328,8861,Resident Evil: Apocalypse (2004),0.7457757818154634
1193,1590,Event Horizon (1997),0.7316019014235026
6577,55232,Resident Evil: Extinction (2007),0.7298742072064013
6483,53000,28 Weeks Later (2007),0.7251304801544332
1846,2455,"Fly, The (1986)",0.7204910404914435
2765,3703,"Road Warrior, The (Mad Max 2) (1981)",0.7155927692229587
858,1129,Escape from New York (1981),0.713889563976091
6556,54995,Planet Terror (2007),0.7096905810048528
7859,93840,"Cabin in the Woods, The (2012)",0.7047664721039435
2193,2916,Total Recall (1990),0.6965550859911731
144,172,Johnny Mnemonic (1995),0.6951718874538035
4118,5903,Equilibrium (2002),0.6946681558718526
1205,1603,Mimic (1997),0.6889028624329755
5265,8644,"I, Robot (2004)",0.6878228909033139
166,196,Species (1995),0.6872705776268689
1901,2525,Alligator (1980),0.6834913809238039
6453,52281,Grindhouse (2007),0.6801361204891476
2184,2901,Phantasm (1979),0.6770869339953952
5931,34048,War of the Worlds (2005),0.6765186369664583
2748,3686,Flatliners (1990),0.6736763811134194
5943,34319,"Island, The (2005)",0.6710722401411572
856,1127,"Abyss, The (1989)",0.6693143421872936
1373,1882,Godzilla (1998),0.6686622883266544
656,849,Escape from L.A. (1996),0.6649746684465426
253,292,Outbreak (1995),0.6645499523914644
522,610,Heavy Metal (1981),0.6618154965995857
3804,5323,Jason X (2002),0.6603433756795163
915,1214,Alien (1979),0.6579392379531579
9025,140956,Ready Player One,0.6565765834117689
9463,169984,Alien: Covenant (2017),0.656106691905414
615,780,Independence Day (a.k.a. ID4) (1996),0.6560495612407937
6151,44191,V for Vendetta (2006),0.6559508666577892
7888,94864,Prometheus (2012),0.6553503513838144
7606,86835,Priest (2011),0.6547786215212698
176,208,Waterworld (1995),0.6522825983335792
1827,2428,"Faculty, The (1998)",0.650737971661438
5169,8371,"Chronicles of Riddick, The (2004)",0.6486349992101794
1261,1676,Starship Troopers (1997),0.6482098061802299
6330,48774,Children of Men (2006),0.6480211654072714
6743,59315,Iron Man (2008),0.6476877001458691
5994,37380,Doom (2005),0.6459084839829321
2764,3702,Mad Max (1979),0.6453109392615641
