movieId,titulo_movie_lens
157865,Ratchet & Clank (2016)
1591,Spawn (1997)
208,Waterworld (1995)
26590,G.I. Joe: The Movie (1987)
3745,Titan A.E. (2000)
558,"Pagemaster, The (1994)"
4121,Innerspace (1987)
8633,"Last Starfighter, The (1984)"
48774,Children of Men (2006)
34334,Stealth (2005)
5264,Clockstoppers (2002)
128944,"Honey, We Shrunk Ourselves (1997)"
442,Demolition Man (1993)
65982,Outlander (2008)
63859,Bolt (2008)
3638,Moonraker (1979)
122904,Deadpool (2016)
6294,Bulletproof Monk (2003)
6959,Timeline (2003)
113345,Jupiter Ascending (2015)
58025,Jumper (2008)
8782,Thunderbirds (2004)
27155,"Batman/Superman Movie, The (1998)"
40339,Chicken Little (2005)
112,Rumble in the Bronx (Hont faan kui) (1995)
6882,Returner (Ritaanaa) (2002)
5657,Flashback (1990)
152081,Zootopia (2016)
849,Escape from L.A. (1996)
5700,The Pumaman (1980)
132046,Tomorrowland (2015)
546,Super Mario Bros. (1993)
2275,Six-String Samurai (1998)
4275,Krull (1983)
1831,Lost in Space (1998)
2720,Inspector Gadget (1999)
130520,Home (2015)
6645,THX 1138 (1971)
673,Space Jam (1996)
27036,Merlin (1998)
2294,Antz (1998)
40851,Zathura (2005)
26510,"Ewok Adventure, The (a.k.a. Caravan of Courage: An Ewok Adventure) (1984)"
1527,"Fifth Element, The (1997)"
485,Last Action Hero (1993)
27032,Who Am I? (Wo shi shei) (1998)
5523,"Adventures of Pluto Nash, The (2002)"
75416,Generation X (1996)
171765,Okja (2017)
61350,Babylon A.D. (2008)
135567,Independence Day: Resurgence (2016)
63433,Farscape: The Peacekeeper Wars (2004)
84944,Rango (2011)
80219,Machete (2010)
87529,Your Highness (2011)
120799,Terminator Genisys (2015)
292,Outbreak (1995)
186587,Rampage (2018)
8644,"I, Robot (2004)"
164226,Maximum Ride (2016)
8743,Biggles (1986)
87232,X-Men: First Class (2011)
4985,Sheena (1984)
72701,Planet 51 (2009)
10,GoldenEye (1995)
71810,Legionnaire (1998)
42015,Casanova (2005)
85261,Mars Needs Moms (2011)
780,Independence Day (a.k.a. ID4) (1996)
62956,Futurama: Bender's Game (2008)
127323,Vice (2015)
6350,Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986)
2890,Three Kings (1999)
122902,Fantastic Four (2015)
161594,Kingsglaive: Final Fantasy XV (2016)
142509,Hardcore Henry (2015)
32031,Robots (2005)
1907,Mulan (1998)
188301,Ant-Man and the Wasp (2018)
52287,Meet the Robinsons (2007)
26542,Ewoks: The Battle for Endor (1985)
71999,Aelita: The Queen of Mars (Aelita) (1924)
3827,Space Cowboys (2000)
122924,X-Men: Apocalypse (2016)
187541,Incredibles 2 (2018)
1499,Anaconda (1997)
26504,Cloak & Dagger (1984)
26792,Sidekicks (1992)
5444,Lilo & Stitch (2002)
85736,BURN-E (2008)
8361,"Day After Tomorrow, The (2004)"
103772,"Wolverine, The (2013)"
31367,"Chase, The (1994)"
37830,Final Fantasy VII: Advent Children (2004)
33681,"Adventures of Sharkboy and Lavagirl 3-D, The (2005)"
117529,Jurassic World (2015)
4956,"Stunt Man, The (1980)"
166461,Moana (2016)
2041,Condorman (1981)
34405,Serenity (2005)
