,movieId,titulo_movie_lens,genres,userId,tag,timestamp
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,336,pixar,1139045764
1,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,474,pixar,1137206825
2,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,567,fun,1525286013
3,2,Jumanji (1995),Adventure|Children|Fantasy,62,fantasy,1528843929
4,2,Jumanji (1995),Adventure|Children|Fantasy,62,magic board game,1528843932
5,2,Jumanji (1995),Adventure|Children|Fantasy,62,Robin Williams,1528843907
6,2,Jumanji (1995),Adventure|Children|Fantasy,474,game,1137375552
7,3,Grumpier Old Men (1995),Comedy|Romance,289,moldy,1143424860
8,3,Grumpier Old Men (1995),Comedy|Romance,289,old,1143424860
9,5,Father of the Bride Part II (1995),Comedy,474,pregnancy,1137373903
10,5,Father of the Bride Part II (1995),Comedy,474,remake,1137373903
11,7,Sabrina (1995),Comedy|Romance,474,remake,1137375642
12,11,"American President, The (1995)",Comedy|Drama|Romance,474,politics,1137374904
13,11,"American President, The (1995)",Comedy|Drama|Romance,474,president,1137374904
14,14,Nixon (1995),Drama,474,politics,1137375623
15,14,Nixon (1995),Drama,474,president,1137375623
16,16,Casino (1995),Crime|Drama,474,Mafia,1137181640
17,17,Sense and Sensibility (1995),Drama|Romance,474,Jane Austen,1137181153
18,21,Get Shorty (1995),Comedy|Crime|Thriller,474,Hollywood,1137206178
19,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,474,serial killer,1137375496
20,25,Leaving Las Vegas (1995),Drama|Romance,474,alcoholism,1138137555
21,26,Othello (1995),Drama,474,Shakespeare,1138137603
22,28,Persuasion (1995),Drama|Romance,474,In Netflix queue,1137201942
23,28,Persuasion (1995),Drama|Romance,474,Jane Austen,1137180037
24,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,474,kidnapping,1138137473
25,31,Dangerous Minds (1995),Drama,474,high school,1137375502
26,31,Dangerous Minds (1995),Drama,474,teacher,1137375502
27,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,424,time travel,1457901872
28,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,474,time travel,1137206826
29,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,477,Brad Pitt,1242494310
30,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,477,Bruce Willis,1242494306
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,477,mindfuck,1242494321
32,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,477,Post apocalyptic,1242494300
33,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,477,post-apocalyptic,1242494300
34,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,477,remake,1242494315
35,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,477,time travel,1242494304
36,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,477,twist ending,1242494302
37,34,Babe (1995),Children|Drama,474,Animal movie,1137180956
38,34,Babe (1995),Children|Drama,474,pigs,1137205237
39,34,Babe (1995),Children|Drama,477,villain nonexistent or not needed for good story,1244787845
40,36,Dead Man Walking (1995),Crime|Drama,474,death penalty,1137202363
41,36,Dead Man Walking (1995),Crime|Drama,474,Nun,1137191227
42,38,It Takes Two (1995),Children|Comedy,474,twins,1137373760
43,39,Clueless (1995),Comedy|Romance,357,chick flick,1348627867
44,39,Clueless (1995),Comedy|Romance,357,funny,1348627869
45,39,Clueless (1995),Comedy|Romance,357,Paul Rudd,1348627871
46,39,Clueless (1995),Comedy|Romance,357,quotable,1348627873
47,39,Clueless (1995),Comedy|Romance,357,seen more than once,1348627878
48,39,Clueless (1995),Comedy|Romance,474,Emma,1138137492
49,39,Clueless (1995),Comedy|Romance,474,Jane Austen,1138137492
50,40,"Cry, the Beloved Country (1995)",Drama,474,In Netflix queue,1137202107
51,40,"Cry, the Beloved Country (1995)",Drama,474,South Africa,1137202107
52,41,Richard III (1995),Drama|War,474,Shakespeare,1138137646
53,43,Restoration (1995),Drama,474,England,1138137640
54,45,To Die For (1995),Comedy|Drama|Thriller,474,Journalism,1137206826
55,46,How to Make an American Quilt (1995),Drama|Romance,474,wedding,1137375539
56,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,424,mystery,1457842470
57,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,424,twist ending,1457842458
58,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,474,serial killer,1137206452
59,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,424,mindfuck,1457842328
60,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,424,suspense,1457842315
61,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,424,thriller,1457842332
62,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,424,tricky,1457842340
